"Totala utsläpp av växthusgaser efter växthusgas, sektor och år"

"växthusgas","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Metan (CH4) (t)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",296625.6,296267.5,301342.8,300238.1,297628.6,294113.7,294577.9,292040.9,287865.6,280098.3,273505.7,270663.1,260578.9,252045.8,252849.5,245173.5,240435.2,230037.4,219090.6,213109.9,208548.8,202276.8,195044.2,191398.6,185497.5,180803.5,177705.4,176350.6,173239.1,167658.7,164891.0
"Metan (CH4) (t)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",315133.9,314754.3,319816.1,318732.5,316116.2,312620.8,313041.1,310859.5,306231.6,298678.1,292100.3,289269.7,279256.8,270614.1,271247.6,263558.1,258952.5,248075.3,237382.8,230661.8,226011.8,219528.0,211931.9,208340.7,203589.7,197957.9,195005.1,193743.0,192784.5,185088.9,182106.6
"Metan (CH4) (t)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",315166.9,314785.8,319847.0,318766.4,316154.3,312667.1,313083.4,310906.1,306285.8,298732.8,292151.4,289317.9,279297.7,270664.6,271306.8,263619.2,259019.4,248140.9,237455.9,230735.1,226080.9,219591.5,211992.6,208399.6,203651.1,198010.9,195066.0,193809.6,193190.3,185562.0,182589.7
"Metan (CH4) (t)","ARBETSMASKINER, TOTALT",528.7,532.6,528.6,514.6,511.9,513.5,514.8,517.5,518.0,515.7,509.5,497.7,499.3,497.0,497.9,487.4,528.4,542.4,546.4,527.6,500.8,465.6,429.5,397.6,377.9,364.5,359.2,354.2,345.1,333.1,326.8
"Metan (CH4) (t)","AVFALL, TOTALT",138655.7,140895.8,141091.4,136566.1,131167.4,130985.8,129863.4,128600.4,126638.7,121421.7,117729.4,115636.4,108175.6,102087.3,100990.7,94876.1,91238.4,83669.1,72992.1,69061.2,64591.6,60253.0,54643.7,50553.0,45592.5,41637.1,38457.2,35978.3,33440.1,29345.8,27124.5
"Metan (CH4) (t)","EL OCH FJÄRRVÄRME, TOTALT",624.2,717.4,572.6,699.4,800.3,824.5,1112.2,918.5,977.3,967.1,923.0,1124.8,1257.3,1373.2,1361.7,1501.8,1636.8,1630.0,1742.6,1948.6,2189.8,1819.1,1868.1,1891.7,1654.7,1666.4,1821.1,1820.2,1880.1,1868.8,1816.8
"Metan (CH4) (t)","INDUSTRI, TOTALT",5155.5,5705.4,5759.2,5814.4,6004.1,5508.7,5344.5,5271.0,5415.0,5248.1,5041.8,5517.7,5186.9,4548.5,5030.3,4645.8,4641.3,4650.3,4143.6,3952.7,3794.4,3637.5,3920.0,3667.4,3331.8,3263.6,3224.2,3162.3,3045.6,3036.8,3105.0
"Metan (CH4) (t)","INRIKES TRANSPORTER, TOTALT",6501.1,6786.4,6345.6,5558.7,5762.8,5295.7,5146.8,4637.0,4387.5,4062.9,3603.1,3337.5,3088.1,2869.4,2637.3,2498.7,2315.1,2156.7,2011.4,1864.9,1716.6,1526.1,1207.8,1167.4,1122.5,1103.3,1120.6,1108.0,1121.3,1503.1,1838.8
"Metan (CH4) (t)","UTRIKES TRANSPORTER, TOTALT",33.0,31.5,30.8,33.8,38.2,46.3,42.3,46.6,54.2,54.6,51.1,48.2,40.8,50.6,59.2,61.1,66.9,65.7,73.2,73.3,69.1,63.5,60.7,59.0,61.3,53.0,60.8,66.6,405.8,473.1,483.1
"Metan (CH4) (t)","JORDBRUK, TOTALT",140794.0,137165.9,142570.3,146577.3,148976.6,146322.2,147915.4,147726.5,145773.3,144140.1,141982.0,141081.4,138872.6,137120.6,138779.1,137665.7,136708.1,134218.0,134571.7,132641.1,132682.7,131526.0,130112.6,130888.2,130734.1,130235.3,130125.1,131371.8,130864.6,128952.1,128106.7
"Metan (CH4) (t)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Metan (CH4) (t)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",4333.3,4432.6,4444.1,4473.9,4367.4,4617.0,4638.5,4323.3,4101.6,3688.1,3665.8,3419.5,3458.3,3499.3,3493.2,3436.9,3300.1,3105.2,3009.8,3040.5,3003.8,2986.2,2801.7,2774.2,2622.7,2480.3,2537.3,2489.2,2136.5,2145.9,2089.4
"Metan (CH4) (t)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",18541.3,18518.3,18504.2,18528.3,18525.7,18553.4,18505.4,18865.3,18420.2,18634.4,18645.7,18654.8,18718.8,18618.8,18457.3,18445.8,18584.2,18103.5,18365.3,17625.2,17532.2,17314.6,16948.4,17001.0,18153.6,17207.4,17360.5,17459.1,19951.2,17903.3,17698.6
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",7414.8,7405.9,7532.8,7505.1,7439.8,7351.7,7363.4,7299.9,7195.3,7001.1,6836.4,6765.4,6513.5,6299.9,6319.8,6127.8,6009.2,5749.3,5475.4,5325.9,5212.0,5055.3,4874.6,4783.5,4635.9,4518.8,4441.1,4407.1,4320.8,4179.6,4110.2
"Metan (CH4) (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",7415.6,7406.7,7533.6,7506.0,7440.7,7352.8,7364.4,7301.0,7196.6,7002.5,6837.6,6766.6,6514.5,6301.1,6321.2,6129.3,6010.9,5750.9,5477.3,5327.7,5213.7,5056.9,4876.1,4785.0,4637.4,4520.1,4442.6,4408.8,4331.0,4191.5,4122.3
